Email Address,"Captain's Name (Last, First)",Names of Partners,"Event Acronym (If an event is not on this list, then it is not offered at the Mock Conference)",Name of partner 1 (First Last),"Name of Partner 1 (Last, First) - Only for team events, not individual roleplays",Name of Partner 2 (First Last),"Name of Partner 2 (Last, First) - Only for team events, not individual roleplays",Email of Partner 1 (warriorlife),Email of Partner 2 (warriorlife)
logan.quarles@example.edu,"Quarles, Logan","Tanner Thackery, Neve Castellano",IBP,Tanner Thackery,"Thackery, Tanner",Neve Castellano,"Castellano, Neve",tanner.thackery@example.edu,neve.castellano@example.edu
hollis.tanaka@example.edu,"Tanaka, Hollis",Cameron Fitzgerald,EFB,Cameron Fitzgerald,"Fitzgerald, Cameron",,,cameron.fitzgerald@example.edu,
neve.castellano@example.edu,"Castellano, Neve","Tanner Thackery, Logan Quarles",IBP,Tanner Thackery,"Thackery, Tanner",Logan Quarles,"Quarles, Logan",tanner.thackery@example.edu,logan.quarles@example.edu
fable.wrenfield@example.edu,"Wrenfield, Fable",,HTPS,,,,,,
emerson.vandergrift@example.edu,"Vandergrift, Emerson",,IMCP,,,,,,
casey.lindqvist@example.edu,"Lindqvist, Casey",Orion Whitfield,ESB,Orion Whitfield,"Whitfield, Orion",,,orion.whitfield@example.edu,
orion.whitfield@example.edu,"Whitfield, Orion",Casey Lindqvist,ESB,Casey Lindqvist,"Lindqvist, Casey",,,casey.lindqvist@example.edu,
harper.underwood@example.edu,"Underwood, Harper",,EIP,,,,,,
poe.doyle@example.edu,"Doyle, Poe","Haven Pickering, Wesley Ellery",BMOR,Haven Pickering,"Pickering, Haven",Wesley Ellery,"Ellery, Wesley",haven.pickering@example.edu,wesley.ellery@example.edu
tanner.thackery@example.edu,"Thackery, Tanner","Neve Castellano, Logan Quarles",IBP,Neve Castellano,"Castellano, Neve",Logan Quarles,"Quarles, Logan",neve.castellano@example.edu,logan.quarles@example.edu
lior.selwyn@example.edu,"Selwyn, Lior",Yara Ellery,ESB,Yara Ellery,"Ellery, Yara",,,yara.ellery@example.edu,
brix.nesbitt@example.edu,"Nesbitt, Brix",Cass Dorsey,BOR,Cass Dorsey,"Dorsey, Cass",,,cass.dorsey@example.edu,
wesley.ellery@example.edu,"Ellery, Wesley","Haven Pickering, Poe Doyle",BMOR,Haven Pickering,"Pickering, Haven",Poe Doyle,"Doyle, Poe",haven.pickering@example.edu,poe.doyle@example.edu
thea.tilden@example.edu,"Tilden, Thea",Dov Northcott,IMCE,Dov Northcott,"Northcott, Dov",,,dov.northcott@example.edu,
yara.ellery@example.edu,"Ellery, Yara",Lior Selwyn,ESB,Lior Selwyn,"Selwyn, Lior",,,lior.selwyn@example.edu,
fern.grimsby@example.edu,"Grimsby, Fern",Amari Zamora,SEOR,Amari Zamora,"Zamora, Amari",,,amari.zamora@example.edu,
fable.pickering@example.edu,"Pickering, Fable",Briar Zaragoza,BOR,Briar Zaragoza,"Zaragoza, Briar",,,briar.zaragoza@example.edu,
parker.westbrook@example.edu,"Westbrook, Parker",Wynn Wrenfield,EIB,Wynn Wrenfield,"Wrenfield, Wynn",,,wynn.wrenfield@example.edu,
cameron.ivanov@example.edu,"Ivanov, Cameron",Onyx Lockwood,BOR,Onyx Lockwood,"Lockwood, Onyx",,,onyx.lockwood@example.edu,
bodhi.ellingham@example.edu,"Ellingham, Bodhi",,PSE,,,,,,
oakley.langford@example.edu,"Langford, Oakley",Prin Larkspur,EIP,Prin Larkspur,"Larkspur, Prin",,,prin.larkspur@example.edu,
nico.dunmore@example.edu,"Dunmore, Nico",,EIP,,,,,,
haven.pickering@example.edu,"Pickering, Haven","Wesley Ellery, Poe Doyle",BMOR,Wesley Ellery,"Ellery, Wesley",Poe Doyle,"Doyle, Poe",wesley.ellery@example.edu,poe.doyle@example.edu
quill.caldwell@example.edu,"Caldwell, Quill",,IMCS,,,,,,
ollie.ito@example.edu,"Ito, Ollie","Tanner Thackery, Neve Castellano",IBP,Tanner Thackery,"Thackery, Tanner",Neve Castellano,"Castellano, Neve",tanner.thackery@example.edu,neve.castellano@example.edu
cass.dorsey@example.edu,"Dorsey, Cass",Brix Nesbitt,BOR,Brix Nesbitt,"Nesbitt, Brix",,,brix.nesbitt@example.edu,
onyx.lockwood@example.edu,"Lockwood, Onyx",Cameron Ivanov,BOR,Cameron Ivanov,"Ivanov, Cameron",,,cameron.ivanov@example.edu,
eden.wilcox@example.edu,"Wilcox, Eden","Hale Gilchrist, Vale Sandoval",EIP,Hale Gilchrist,"Gilchrist, Hale",Vale Sandoval,"Sandoval, Vale",hale.gilchrist@example.edu,vale.sandoval@example.edu
gale.grimsby@example.edu,"Grimsby, Gale",,PSE,,,,,,
indigo.follett@example.edu,"Follett, Indigo",Vin Fitzgerald,BMOR,Vin Fitzgerald,"Fitzgerald, Vin",,,vin.fitzgerald@example.edu,
cass.novak@example.edu,"Novak, Cass",,IMCP,,,,,,
tatum.quillon@example.edu,"Quillon, Tatum",,IBP,,,,,,
hana.zamora@example.edu,"Zamora, Hana",,SEOR,,,,,,
hale.gilchrist@example.edu,"Gilchrist, Hale","Eden Wilcox, Vale Sandoval",EIP,Eden Wilcox,"Wilcox, Eden",Vale Sandoval,"Sandoval, Vale",eden.wilcox@example.edu,vale.sandoval@example.edu
lumen.tremaine@example.edu,"Tremaine, Lumen",Nell Marbury,HTOR,Nell Marbury,"Marbury, Nell",,,nell.marbury@example.edu,
shiloh.nakamura@example.edu,"Nakamura, Shiloh",Parker Vasquez,BMOR,Parker Vasquez,"Vasquez, Parker",,,parker.vasquez@example.edu,
parker.vasquez@example.edu,"Vasquez, Parker",Shiloh Nakamura,BMOR,Shiloh Nakamura,"Nakamura, Shiloh",,,shiloh.nakamura@example.edu,
vale.sandoval@example.edu,"Sandoval, Vale","Hale Gilchrist, Eden Wilcox",EIP,Hale Gilchrist,"Gilchrist, Hale",Eden Wilcox,"Wilcox, Eden",hale.gilchrist@example.edu,eden.wilcox@example.edu
greer.vandermeer@example.edu,"Vandermeer, Greer","Sol Ingram, Sasha Thackery",BOR,Sol Ingram,"Ingram, Sol",Sasha Thackery,"Thackery, Sasha",sol.ingram@example.edu,sasha.thackery@example.edu
emerson.pruitt@example.edu,"Pruitt, Emerson","Remy Ormsby, Haven Bellweather",IMCS,Remy Ormsby,"Ormsby, Remy",Haven Bellweather,"Bellweather, Haven",remy.ormsby@example.edu,haven.bellweather@example.edu
wynn.wrenfield@example.edu,"Wrenfield, Wynn",Parker Westbrook,EIB,Parker Westbrook,"Westbrook, Parker",,,parker.westbrook@example.edu,
iris.ivanov@example.edu,"Ivanov, Iris",Gio Ivanov,IMCS,Gio Ivanov,"Ivanov, Gio",,,gio.ivanov@example.edu,
vin.fitzgerald@example.edu,"Fitzgerald, Vin",Indigo Follett,BMOR,Indigo Follett,"Follett, Indigo",,,indigo.follett@example.edu,
nox.cranfield@example.edu,"Cranfield, Nox",,FOR,,,,,,
gio.ivanov@example.edu,"Ivanov, Gio",Iris Ivanov,IMCS,Iris Ivanov,"Ivanov, Iris",,,iris.ivanov@example.edu,
vin.underwood@example.edu,"Underwood, Vin","Tanner Thackery, Neve Castellano",IBP,Tanner Thackery,"Thackery, Tanner",Neve Castellano,"Castellano, Neve",tanner.thackery@example.edu,neve.castellano@example.edu
jules.zamora@example.edu,"Zamora, Jules","Oakley Hawthorne, Rory Nakamura",EIP,Oakley Hawthorne,"Hawthorne, Oakley",Rory Nakamura,"Nakamura, Rory",oakley.hawthorne@example.edu,rory.nakamura@example.edu
zara.nesbitt@example.edu,"Nesbitt, Zara","Lane Galloway, Hollis Edgerton",EIB,Lane Galloway,"Galloway, Lane",Hollis Edgerton,"Edgerton, Hollis",lane.galloway@example.edu,hollis.edgerton@example.edu
bellamy.ashby@example.edu,"Ashby, Bellamy",Umi Mortimer,BOR,Umi Mortimer,"Mortimer, Umi",,,umi.mortimer@example.edu,
kai.nesbitt@example.edu,"Nesbitt, Kai",Skyler Gilchrist,IMCP,Skyler Gilchrist,"Gilchrist, Skyler",,,skyler.gilchrist@example.edu,
haven.bellweather@example.edu,"Bellweather, Haven","Emerson Pruitt, Remy Ormsby",IMCS,Emerson Pruitt,"Pruitt, Emerson",Remy Ormsby,"Ormsby, Remy",emerson.pruitt@example.edu,remy.ormsby@example.edu
zara.quimby@example.edu,"Quimby, Zara",Adrian Ellingham,ESB,Adrian Ellingham,"Ellingham, Adrian",,,adrian.ellingham@example.edu,
river.lemoine@example.edu,"Lemoine, River","Noel Thornbury, Sable Stroud",SEOR,Noel Thornbury,"Thornbury, Noel",Sable Stroud,"Stroud, Sable",noel.thornbury@example.edu,sable.stroud@example.edu
fern.abbott@example.edu,"Abbott, Fern","Caelan Ibsen, Kit Bracken",BMOR,Caelan Ibsen,"Ibsen, Caelan",Kit Bracken,"Bracken, Kit",caelan.ibsen@example.edu,kit.bracken@example.edu
ford.kingsley@example.edu,"Kingsley, Ford",Maren Hemsworth,EFB,Maren Hemsworth,"Hemsworth, Maren",,,maren.hemsworth@example.edu,
gio.dorsey@example.edu,"Dorsey, Gio",Zion Somerset,HTOR,Zion Somerset,"Somerset, Zion",,,zion.somerset@example.edu,
adrian.ellingham@example.edu,"Ellingham, Adrian",Zara Quimby,ESB,Zara Quimby,"Quimby, Zara",,,zara.quimby@example.edu,
remy.ormsby@example.edu,"Ormsby, Remy","Emerson Pruitt, Haven Bellweather",IMCS,Emerson Pruitt,"Pruitt, Emerson",Haven Bellweather,"Bellweather, Haven",emerson.pruitt@example.edu,haven.bellweather@example.edu
sol.ingram@example.edu,"Ingram, Sol","Sasha Thackery, Greer Vandermeer",BOR,Sasha Thackery,"Thackery, Sasha",Greer Vandermeer,"Vandermeer, Greer",sasha.thackery@example.edu,greer.vandermeer@example.edu
skyler.gilchrist@example.edu,"Gilchrist, Skyler",Kai Nesbitt,IMCP,Kai Nesbitt,"Nesbitt, Kai",,,kai.nesbitt@example.edu,
nox.rutherford@example.edu,"Rutherford, Nox",Cody Quintero,BOR,Cody Quintero,"Quintero, Cody",,,cody.quintero@example.edu,
umi.mortimer@example.edu,"Mortimer, Umi",Bellamy Ashby,BOR,Bellamy Ashby,"Ashby, Bellamy",,,bellamy.ashby@example.edu,
zion.somerset@example.edu,"Somerset, Zion",Gio Dorsey,HTOR,Gio Dorsey,"Dorsey, Gio",,,gio.dorsey@example.edu,
opal.thackery@example.edu,"Thackery, Opal","Rune Hemsworth, Hollis Kirkpatrick",EFB,Rune Hemsworth,"Hemsworth, Rune",Hollis Kirkpatrick,"Kirkpatrick, Hollis",rune.hemsworth@example.edu,hollis.kirkpatrick@example.edu
nell.marbury@example.edu,"Marbury, Nell",Lumen Tremaine,HTOR,Lumen Tremaine,"Tremaine, Lumen",,,lumen.tremaine@example.edu,
rory.zaragoza@example.edu,"Zaragoza, Rory","Denver Danforth, Linden Larkspur",ESB,Denver Danforth,"Danforth, Denver",Linden Larkspur,"Larkspur, Linden",denver.danforth@example.edu,linden.larkspur@example.edu
kai.umberto@example.edu,"Umberto, Kai",,EIP,,,,,,
sasha.thackery@example.edu,"Thackery, Sasha","Sol Ingram, Greer Vandermeer",BOR,Sol Ingram,"Ingram, Sol",Greer Vandermeer,"Vandermeer, Greer",sol.ingram@example.edu,greer.vandermeer@example.edu
gio.stroud@example.edu,"Stroud, Gio",,EIP,,,,,,
onyx.gilchrist@example.edu,"Gilchrist, Onyx",,SEOR,,,,,,
rory.zimmerman@example.edu,"Zimmerman, Rory",,PSE,,,,,,
quinn.prescott@example.edu,"Prescott, Quinn","Blake Thornbury, Ollie Hollingsworth",IMCP,Blake Thornbury,"Thornbury, Blake",Ollie Hollingsworth,"Hollingsworth, Ollie",blake.thornbury@example.edu,ollie.hollingsworth@example.edu
river.cranfield@example.edu,"Cranfield, River",Umi Grimsby,IMCS,Umi Grimsby,"Grimsby, Umi",,,umi.grimsby@example.edu,
umi.grimsby@example.edu,"Grimsby, Umi",River Cranfield,IMCS,River Cranfield,"Cranfield, River",,,river.cranfield@example.edu,
remy.fitzgerald@example.edu,"Fitzgerald, Remy",,BOR,,,,,,
rune.hollingsworth@example.edu,"Hollingsworth, Rune",Tatum Bracken,IMCS,Tatum Bracken,"Bracken, Tatum",,,tatum.bracken@example.edu,
opal.granger@example.edu,"Granger, Opal",Blake Lindqvist,BMOR,Blake Lindqvist,"Lindqvist, Blake",,,blake.lindqvist@example.edu,
maren.hemsworth@example.edu,"Hemsworth, Maren",Ford Kingsley,EFB,Ford Kingsley,"Kingsley, Ford",,,ford.kingsley@example.edu,
sable.stroud@example.edu,"Stroud, Sable","River Lemoine, Noel Thornbury",SEOR,River Lemoine,"Lemoine, River",Noel Thornbury,"Thornbury, Noel",river.lemoine@example.edu,noel.thornbury@example.edu
shiloh.ellingham@example.edu,"Ellingham, Shiloh",Shiloh Quarles,SEOR,Shiloh Quarles,"Quarles, Shiloh",,,shiloh.quarles@example.edu,
jesse.castellano@example.edu,"Castellano, Jesse",,FCE,,,,,,
denver.danforth@example.edu,"Danforth, Denver","Rory Zaragoza, Linden Larkspur",ESB,Rory Zaragoza,"Zaragoza, Rory",Linden Larkspur,"Larkspur, Linden",rory.zaragoza@example.edu,linden.larkspur@example.edu
denver.jorgensen@example.edu,"Jorgensen, Denver",,ESB,,,,,,
echo.harrowgate@example.edu,"Harrowgate, Echo",,BMOR,,,,,,
tatum.bracken@example.edu,"Bracken, Tatum",Rune Hollingsworth,IMCS,Rune Hollingsworth,"Hollingsworth, Rune",,,rune.hollingsworth@example.edu,
fable.quintanilla@example.edu,"Quintanilla, Fable",,FOR,,,,,,
oakley.hawthorne@example.edu,"Hawthorne, Oakley","Jules Zamora, Rory Nakamura",EIP,Jules Zamora,"Zamora, Jules",Rory Nakamura,"Nakamura, Rory",jules.zamora@example.edu,rory.nakamura@example.edu
rory.nakamura@example.edu,"Nakamura, Rory","Oakley Hawthorne, Jules Zamora",EIP,Oakley Hawthorne,"Hawthorne, Oakley",Jules Zamora,"Zamora, Jules",oakley.hawthorne@example.edu,jules.zamora@example.edu
cody.quintero@example.edu,"Quintero, Cody",Nox Rutherford,BOR,Nox Rutherford,"Rutherford, Nox",,,nox.rutherford@example.edu,
hollis.kirkpatrick@example.edu,"Kirkpatrick, Hollis","Opal Thackery, Rune Hemsworth",EFB,Opal Thackery,"Thackery, Opal",Rune Hemsworth,"Hemsworth, Rune",opal.thackery@example.edu,rune.hemsworth@example.edu
caelan.novak@example.edu,"Novak, Caelan",Remy Hemsworth,ESB,Remy Hemsworth,"Hemsworth, Remy",,,remy.hemsworth@example.edu,
remy.hemsworth@example.edu,"Hemsworth, Remy",Caelan Novak,ESB,Caelan Novak,"Novak, Caelan",,,caelan.novak@example.edu,
denver.chandler@example.edu,"Chandler, Denver",,BOR,,,,,,
casey.quintanilla@example.edu,"Quintanilla, Casey",,IMCP,,,,,,
vera.jessup@example.edu,"Jessup, Vera",,IMCP,,,,,,
linden.larkspur@example.edu,"Larkspur, Linden","Denver Danforth, Rory Zaragoza",ESB,Denver Danforth,"Danforth, Denver",Rory Zaragoza,"Zaragoza, Rory",denver.danforth@example.edu,rory.zaragoza@example.edu
rune.hemsworth@example.edu,"Hemsworth, Rune","Opal Thackery, Hollis Kirkpatrick",EFB,Opal Thackery,"Thackery, Opal",Hollis Kirkpatrick,"Kirkpatrick, Hollis",opal.thackery@example.edu,hollis.kirkpatrick@example.edu
winter.selwyn@example.edu,"Selwyn, Winter",,EIB,,,,,,
nova.halloway@example.edu,"Halloway, Nova","Reagan Fairbanks, Ember Upshaw",HTOR,Reagan Fairbanks,"Fairbanks, Reagan",Ember Upshaw,"Upshaw, Ember",reagan.fairbanks@example.edu,ember.upshaw@example.edu
ember.upshaw@example.edu,"Upshaw, Ember","Reagan Fairbanks, Nova Halloway",HTOR,Reagan Fairbanks,"Fairbanks, Reagan",Nova Halloway,"Halloway, Nova",reagan.fairbanks@example.edu,nova.halloway@example.edu
cameron.fitzgerald@example.edu,"Fitzgerald, Cameron",Hollis Tanaka,EFB,Hollis Tanaka,"Tanaka, Hollis",,,hollis.tanaka@example.edu,
ollie.ulster@example.edu,"Ulster, Ollie",,IBP,,,,,,
avery.lockwood@example.edu,"Lockwood, Avery","Yara Rutherford, Adrian Ibsen",SEOR,Yara Rutherford,"Rutherford, Yara",Adrian Ibsen,"Ibsen, Adrian",yara.rutherford@example.edu,adrian.ibsen@example.edu
adrian.ibsen@example.edu,"Ibsen, Adrian","Yara Rutherford, Avery Lockwood",SEOR,Yara Rutherford,"Rutherford, Yara",Avery Lockwood,"Lockwood, Avery",yara.rutherford@example.edu,avery.lockwood@example.edu
jamie.alderton@example.edu,"Alderton, Jamie",,HTPS,,,,,,
yara.rutherford@example.edu,"Rutherford, Yara","Adrian Ibsen, Avery Lockwood",SEOR,Adrian Ibsen,"Ibsen, Adrian",Avery Lockwood,"Lockwood, Avery",adrian.ibsen@example.edu,avery.lockwood@example.edu
dov.northcott@example.edu,"Northcott, Dov",Thea Tilden,IMCE,Thea Tilden,"Tilden, Thea",,,thea.tilden@example.edu,
odin.wexford@example.edu,"Wexford, Odin",,HTPS,,,,,,
lior.wrenfield@example.edu,"Wrenfield, Lior",,FCE,,,,,,
noel.thornbury@example.edu,"Thornbury, Noel","River Lemoine, Sable Stroud",SEOR,River Lemoine,"Lemoine, River",Sable Stroud,"Stroud, Sable",river.lemoine@example.edu,sable.stroud@example.edu
opal.vasquez@example.edu,"Vasquez, Opal",,HTPS,,,,,,
lumen.brightwater@example.edu,"Brightwater, Lumen","Wynn Ellingham, Keaton Oakhurst",BOR,Wynn Ellingham,"Ellingham, Wynn",Keaton Oakhurst,"Oakhurst, Keaton",wynn.ellingham@example.edu,keaton.oakhurst@example.edu
cyan.ashby@example.edu,"Ashby, Cyan",Dune Vandergrift,BMOR,Dune Vandergrift,"Vandergrift, Dune",,,dune.vandergrift@example.edu,
briar.zaragoza@example.edu,"Zaragoza, Briar",,RFSM,,,,,,
kit.bracken@example.edu,"Bracken, Kit",,PHT,,,,,,
hollis.edgerton@example.edu,"Edgerton, Hollis",,PFL,,,,,,
caelan.ibsen@example.edu,"Ibsen, Caelan",,PEN,,,,,,
wesley.edgerton@example.edu,"Edgerton, Wesley",,PEN,,,,,,
devon.bellweather@example.edu,"Bellweather, Devon",,PMK,,,,,,
esme.wexford@example.edu,"Wexford, Esme",,PEN,,,,,,
ford.merriweather@example.edu,"Merriweather, Ford",Skyler Edgerton,STDM,Skyler Edgerton,"Edgerton, Skyler",,,skyler.edgerton@example.edu,
lane.galloway@example.edu,"Galloway, Lane",,PBM,,,,,,
wesley.zeller@example.edu,"Zeller, Wesley",,QSRM,,,,,,
arden.vandermeer@example.edu,"Vandermeer, Arden",,PHT,,,,,,
dakota.bellweather@example.edu,"Bellweather, Dakota",,PFN,,,,,,
tobin.rothwell@example.edu,"Rothwell, Tobin",,PMK,,,,,,
blake.lindqvist@example.edu,"Lindqvist, Blake",,PHT,,,,,,
kit.dorsey@example.edu,"Dorsey, Kit",,PHT,,,,,,
alex.underwood@example.edu,"Underwood, Alex",,PHT,,,,,,
dov.ivanov@example.edu,"Ivanov, Dov",,PFN,,,,,,
palmer.zimmerman@example.edu,"Zimmerman, Palmer",,MCS,,,,,,
bodhi.pruitt@example.edu,"Pruitt, Bodhi",,PMK,,,,,,
thea.selwyn@example.edu,"Selwyn, Thea",Hale Granger,BLTDM,Hale Granger,"Granger, Hale",,,hale.granger@example.edu,
hale.granger@example.edu,"Granger, Hale",Thea Selwyn,BLTDM,Thea Selwyn,"Selwyn, Thea",,,thea.selwyn@example.edu,
skyler.edgerton@example.edu,"Edgerton, Skyler",Ford Merriweather,STDM,Ford Merriweather,"Merriweather, Ford",,,ford.merriweather@example.edu,
delaney.ostrander@example.edu,"Ostrander, Delaney",,RFSM,,,,,,
zephyr.kowalski@example.edu,"Kowalski, Zephyr",,PFN,,,,,,
iris.nesbitt@example.edu,"Nesbitt, Iris",Yara Rutherford,MTDM,Yara Rutherford,"Rutherford, Yara",,,yara.rutherford@example.edu,
amari.zamora@example.edu,"Zamora, Amari",,PMK,,,,,,
logan.quarles@example.edu,"Quarles, Logan",,PFN,,,,,,
hollis.tanaka@example.edu,"Tanaka, Hollis",Yara Ellery,HTDM,Yara Ellery,"Ellery, Yara",,,yara.ellery@example.edu,
neve.castellano@example.edu,"Castellano, Neve",,PEN,,,,,,
fable.wrenfield@example.edu,"Wrenfield, Fable",,HLM,,,,,,
emerson.vandergrift@example.edu,"Vandergrift, Emerson",,AAM,,,,,,
casey.lindqvist@example.edu,"Lindqvist, Casey",,PHT,,,,,,
orion.whitfield@example.edu,"Whitfield, Orion",,PHT,,,,,,
harper.underwood@example.edu,"Underwood, Harper",,PHT,,,,,,
poe.doyle@example.edu,"Doyle, Poe",,PMK,,,,,,
tanner.thackery@example.edu,"Thackery, Tanner",,PEN,,,,,,
lior.selwyn@example.edu,"Selwyn, Lior",,PBM,,,,,,
brix.nesbitt@example.edu,"Nesbitt, Brix",,PBM,,,,,,
wesley.ellery@example.edu,"Ellery, Wesley",,PFN,,,,,,
thea.tilden@example.edu,"Tilden, Thea",,PBM,,,,,,
yara.ellery@example.edu,"Ellery, Yara",Hollis Tanaka,HTDM,Hollis Tanaka,"Tanaka, Hollis",,,hollis.tanaka@example.edu,
fern.grimsby@example.edu,"Grimsby, Fern",,PEN,,,,,,
fable.pickering@example.edu,"Pickering, Fable",,ENT,,,,,,
parker.westbrook@example.edu,"Westbrook, Parker",,RFSM,,,,,,
cameron.ivanov@example.edu,"Ivanov, Cameron",,PFN,,,,,,
bodhi.ellingham@example.edu,"Ellingham, Bodhi",,HRM,,,,,,
oakley.langford@example.edu,"Langford, Oakley",,PBM,,,,,,
nico.dunmore@example.edu,"Dunmore, Nico",,SEM,,,,,,
haven.pickering@example.edu,"Pickering, Haven",,PEN,,,,,,
quill.caldwell@example.edu,"Caldwell, Quill",,PHT,,,,,,
ollie.ito@example.edu,"Ito, Ollie",,PEN,,,,,,
cass.dorsey@example.edu,"Dorsey, Cass",,PHT,,,,,,
onyx.lockwood@example.edu,"Lockwood, Onyx",,PFN,,,,,,
eden.wilcox@example.edu,"Wilcox, Eden",,PEN,,,,,,
gale.grimsby@example.edu,"Grimsby, Gale",River Lemoine,TTDM,River Lemoine,"Lemoine, River",,,river.lemoine@example.edu,
indigo.follett@example.edu,"Follett, Indigo",,PBM,,,,,,
cass.novak@example.edu,"Novak, Cass",,PMK,,,,,,
tatum.quillon@example.edu,"Quillon, Tatum",,RMS,,,,,,
hana.zamora@example.edu,"Zamora, Hana",,PMK,,,,,,
hale.gilchrist@example.edu,"Gilchrist, Hale",,PEN,,,,,,
lumen.tremaine@example.edu,"Tremaine, Lumen",Nell Marbury,BTDM,Nell Marbury,"Marbury, Nell",,,nell.marbury@example.edu,
shiloh.nakamura@example.edu,"Nakamura, Shiloh",,AAM,,,,,,
parker.vasquez@example.edu,"Vasquez, Parker",,PEN,,,,,,
vale.sandoval@example.edu,"Sandoval, Vale",,PMK,,,,,,
greer.vandermeer@example.edu,"Vandermeer, Greer",,PHT,,,,,,
emerson.pruitt@example.edu,"Pruitt, Emerson",,PBM,,,,,,
wynn.wrenfield@example.edu,"Wrenfield, Wynn",,RFSM,,,,,,
iris.ivanov@example.edu,"Ivanov, Iris",,PEN,,,,,,
vin.fitzgerald@example.edu,"Fitzgerald, Vin",,PBM,,,,,,
nox.cranfield@example.edu,"Cranfield, Nox",,PBM,,,,,,
